"county_code","date_id","Trump","Clinton","Johnson","Stein"
5117,"0917",1.74,2.99,0,0
5119,"0917",2.09,4.70,0,0
5121,"0917",1.54,4.05,0,0
5123,"0917",2.22,3.41,0,0
5125,"0917",2.44,6.17,0,0
5127,"0917",3.40,4.88,0,0
5129,"0917",1.25,5.33,0,0
5131,"0917",2.37,5.31,0,0
5133,"0917",3.07,7.02,0,0
5135,"0917",1.96,5.93,0,0
5137,"0917",3.76,8.01,0,0
5139,"0917",2.95,4.44,0,0
5141,"0917",1.88,4.58,0,0
5143,"0917",2.27,5.43,0,0
5145,"0917",1.70,4.94,0,0
5147,"0917",1.61,2.41,0,0
5149,"0917",2.00,4.09,0,0
6001,"0917",2.19,4.04,0,0
6003,"0917",2.94,7.72,0,0
6005,"0917",2.12,5.65,0,0
6007,"0917",2.59,5.10,0,0
6009,"0917",2.29,5.42,0,0
6011,"0917",2.14,3.24,0,0
6013,"0917",2.57,5.11,0,0
6015,"0917",2.44,5.76,0,0
6017,"0917",2.27,5.85,0,0
6019,"0917",2.29,4.09,0,0
6021,"0917",2.58,4.98,0,0
6023,"0917",2.08,4.94,0,0
6025,"0917",1.84,3.39,0,0
6027,"0917",3.45,4.11,0,0
6029,"0917",2.07,4.35,0,0
6031,"0917",1.82,3.67,0,0
6033,"0917",2.54,5.46,0,0
6035,"0917",2.45,7.04,0,0
6037,"0917",2.44,4.58,0,0
6039,"0917",2.23,4.90,0,0
6041,"0917",2.19,4.76,0,0
6043,"0917",2.04,4.08,0,0
6045,"0917",1.64,5.16,0,0
6047,"0917",2.27,3.93,0,0
6049,"0917",0.75,4.11,0,0
6051,"0917",2.24,3.71,0,0
6053,"0917",2.14,4.15,0,0
6055,"0917",2.26,4.61,0,0
6057,"0917",2.39,5.79,0,0
6059,"0917",2.35,4.92,0,0
6061,"0917",2.81,6.16,0,0
6063,"0917",2.00,6.47,0,0
6065,"0917",2.41,4.55,0,0
6067,"0917",2.35,4.64,0,0
6069,"0917",2.33,4.45,0,0
6071,"0917",2.28,4.47,0,0
6073,"0917",2.41,4.96,0,0
6075,"0917",2.34,4.65,0,0
6077,"0917",2.31,4.15,0,0
6079,"0917",2.47,5.75,0,0
6081,"0917",2.51,4.50,0,0
6083,"0917",2.14,4.84,0,0
6085,"0917",2.19,4.02,0,0
6087,"0917",2.67,5.47,0,0
